Label	phylum	class	order	family	genus	species
u121578	Lenarviricota	Howeltoviricetes	.	.	.	.
u121615	Kitrinoviricota	Tolucaviricetes	.	.	.	.
u121704	Lenarviricota	Allassoviricetes	.	.	.	.
u121765	Pisuviricota	Pisoniviricetes	.	.	.	.
u121766	.	.	.	.	.	.
u121807	Lenarviricota	Howeltoviricetes	.	.	.	.
u121825	Lenarviricota	Allassoviricetes	Levivirales	.	.	.
u121934	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	Alphapartitivirus_Betapartitivirus	Medicago sativa alphapartitivirus 1_Sarcosphaera coronaria partitivirus
u121954	Kitrinoviricota	Alsuviricetes_Tolucaviricetes_Flasuviricetes	.	.	.	.
u122003	.	.	.	.	.	.
u122039	.	.	.	.	.	.
u122181	Lenarviricota	Howeltoviricetes_Amabiliviricetes	Cryppavirales_Wolframvirales	Mitoviridae	Mitovirus	Mitovirus sp.
